round,date,min_since_start,ss,direction,speed
3,9/22/2015,5,0,63,0
3,9/22/2015,5,5,63,0
3,9/22/2015,5,10,63,0
3,9/22/2015,5,15,63,1
3,9/22/2015,5,20,63,0.5
3,9/22/2015,5,25,63,0.2
3,9/22/2015,5,30,63,0
3,9/22/2015,5,35,63,0
3,9/22/2015,5,40,63,0
3,9/22/2015,5,45,63,0
3,9/22/2015,10,0,93,0
3,9/22/2015,10,5,93,0
3,9/22/2015,10,10,93,0
3,9/22/2015,10,15,93,0
3,9/22/2015,10,20,93,0
3,9/22/2015,10,25,93,0
3,9/22/2015,10,30,93,0
3,9/22/2015,10,35,93,0
3,9/22/2015,10,40,93,0
3,9/22/2015,15,45,93,0
3,9/22/2015,15,0,95,0
3,9/22/2015,15,5,95,0.2
3,9/22/2015,15,10,95,0
3,9/22/2015,15,15,95,0.5
3,9/22/2015,15,20,95,1.1
3,9/22/2015,15,25,95,0.7
3,9/22/2015,15,30,95,0.3
3,9/22/2015,15,35,95,0
3,9/22/2015,20,40,95,0
3,9/22/2015,20,45,95,0
3,9/22/2015,20,0,95,0
3,9/22/2015,20,5,95,0
3,9/22/2015,20,10,95,0
3,9/22/2015,20,15,95,0
3,9/22/2015,20,20,95,0
3,9/22/2015,20,25,95,0
3,9/22/2015,20,30,95,0
3,9/22/2015,25,35,95,0
3,9/22/2015,25,40,95,0
3,9/22/2015,25,45,95,0
3,9/22/2015,25,0,97,0
3,9/22/2015,25,5,97,0.3
3,9/22/2015,25,10,97,0.3
3,9/22/2015,25,15,97,0.4
3,9/22/2015,25,20,97,0.2
3,9/22/2015,25,25,97,0
3,9/22/2015,30,30,97,0
3,9/22/2015,30,35,97,0
3,9/22/2015,30,40,97,0
3,9/22/2015,30,45,97,0
3,9/22/2015,30,0,102,0
3,9/22/2015,30,5,102,0
3,9/22/2015,30,10,102,1.2
3,9/22/2015,30,15,102,0.3
3,9/22/2015,30,20,102,0.2
3,9/22/2015,35,25,102,0.3
3,9/22/2015,35,30,102,0.3
3,9/22/2015,35,35,102,0
3,9/22/2015,35,40,102,0
3,9/22/2015,35,45,102,0
3,9/22/2015,35,0,69,0.3
3,9/22/2015,35,5,69,0
3,9/22/2015,35,10,69,0
3,9/22/2015,35,15,69,0
3,9/22/2015,40,20,69,0
3,9/22/2015,40,25,69,0
3,9/22/2015,40,30,69,0
3,9/22/2015,40,35,69,0
3,9/22/2015,40,40,69,0
3,9/22/2015,40,45,69,0
3,9/22/2015,40,0,69,0
3,9/22/2015,40,5,69,0
3,9/22/2015,40,10,69,0
3,9/22/2015,45,15,69,0
3,9/22/2015,45,20,69,0
3,9/22/2015,45,25,69,0
3,9/22/2015,45,30,69,0
3,9/22/2015,45,35,69,0
3,9/22/2015,45,40,69,0
3,9/22/2015,45,45,69,0
3,9/22/2015,45,0,58,0
3,9/22/2015,45,5,58,0.3
3,9/22/2015,50,10,58,0
3,9/22/2015,50,15,58,0
3,9/22/2015,50,20,58,0.3
3,9/22/2015,50,25,58,0
3,9/22/2015,50,30,58,0
3,9/22/2015,50,35,58,0
3,9/22/2015,50,40,58,0
3,9/22/2015,50,45,58,0
3,9/22/2015,50,0,106,0.2
3,9/22/2015,55,5,106,0
3,9/22/2015,55,10,106,0
3,9/22/2015,55,15,106,0
3,9/22/2015,55,20,106,0
3,9/22/2015,55,25,106,0
3,9/22/2015,55,30,106,0
3,9/22/2015,55,35,106,0
3,9/22/2015,55,40,106,0
3,9/22/2015,55,45,106,0.2
3,9/22/2015,60,0,114,0
3,9/22/2015,60,5,114,0.2
3,9/22/2015,60,10,114,0.1
3,9/22/2015,60,15,114,0.5
3,9/22/2015,60,20,114,1
3,9/22/2015,60,25,114,0.8
3,9/22/2015,60,30,114,0.8
3,9/22/2015,60,35,114,1.4
3,9/22/2015,60,40,114,1.1
3,9/22/2015,65,45,114,0.9
3,9/22/2015,65,0,107,0.3
3,9/22/2015,65,5,107,0
3,9/22/2015,65,10,107,0
3,9/22/2015,65,15,107,0
3,9/22/2015,65,20,107,0
3,9/22/2015,65,25,107,0
3,9/22/2015,65,30,107,0
3,9/22/2015,65,35,107,0
3,9/22/2015,70,40,107,0
3,9/22/2015,70,45,107,0
3,9/22/2015,70,0,89,0
3,9/22/2015,70,5,89,0.2
3,9/22/2015,70,10,89,0.2
3,9/22/2015,70,15,89,0
3,9/22/2015,70,20,89,0
3,9/22/2015,70,25,89,0
3,9/22/2015,70,30,89,0
3,9/22/2015,75,35,89,0
3,9/22/2015,75,40,89,0
3,9/22/2015,75,45,89,0
3,9/22/2015,75,0,76,0
3,9/22/2015,75,5,76,0
3,9/22/2015,75,10,76,0
3,9/22/2015,75,15,76,0
3,9/22/2015,75,20,76,0
3,9/22/2015,75,25,76,0
3,9/22/2015,80,30,76,0
3,9/22/2015,80,35,76,1.2
3,9/22/2015,80,40,76,0.4
3,9/22/2015,80,45,76,1
3,9/22/2015,80,0,99,0
3,9/22/2015,80,5,99,0.7
3,9/22/2015,80,10,99,0.9
3,9/22/2015,80,15,99,1.3
3,9/22/2015,80,20,99,0.2
3,9/22/2015,85,25,99,0.2
3,9/22/2015,85,30,99,0
3,9/22/2015,85,35,99,0
3,9/22/2015,85,40,99,0
3,9/22/2015,85,45,99,0
3,9/22/2015,85,0,99,0
3,9/22/2015,85,5,99,0
3,9/22/2015,85,10,99,0
3,9/22/2015,85,15,99,0
3,9/22/2015,90,20,99,0
3,9/22/2015,90,25,99,0
3,9/22/2015,90,30,99,0
3,9/22/2015,90,35,99,0
3,9/22/2015,90,40,99,0
3,9/22/2015,90,45,99,0
3,9/22/2015,90,0,57,0.7
3,9/22/2015,90,5,57,0
3,9/22/2015,90,10,57,0.4
3,9/22/2015,95,15,57,0.2
3,9/22/2015,95,20,57,0
3,9/22/2015,95,25,57,0.3
3,9/22/2015,95,30,57,0.3
3,9/22/2015,95,35,57,0
3,9/22/2015,95,40,57,0
3,9/22/2015,95,45,57,0
3,9/22/2015,95,0,71,0
3,9/22/2015,95,5,71,0
3,9/22/2015,100,10,71,0
3,9/22/2015,100,15,71,0.8
3,9/22/2015,100,20,71,0.8
3,9/22/2015,100,25,71,0
3,9/22/2015,100,30,71,0
3,9/22/2015,100,35,71,0
3,9/22/2015,100,40,71,0.3
3,9/22/2015,100,45,71,0
3,9/22/2015,100,0,132,0
3,9/22/2015,105,5,132,0.2
3,9/22/2015,105,10,132,0
3,9/22/2015,105,15,132,0.4
3,9/22/2015,105,20,132,1.8
3,9/22/2015,105,25,132,1.1
3,9/22/2015,105,30,132,0.3
3,9/22/2015,105,35,132,0.4
3,9/22/2015,105,40,132,1.4
3,9/22/2015,105,45,132,0.8
3,9/22/2015,110,0,132,0
3,9/22/2015,110,5,132,1.2
3,9/22/2015,110,10,132,1
3,9/22/2015,110,15,132,0.4
3,9/22/2015,110,20,132,0.7
3,9/22/2015,110,25,132,1.2
3,9/22/2015,110,30,132,1
3,9/22/2015,110,35,132,1.1
3,9/22/2015,110,40,132,1.4
3,9/22/2015,115,45,132,1.2
3,9/22/2015,115,0,98,1.2
3,9/22/2015,115,5,98,1.1
3,9/22/2015,115,10,98,0.2
3,9/22/2015,115,15,98,0.3
3,9/22/2015,115,20,98,1.1
3,9/22/2015,115,25,98,0
3,9/22/2015,115,30,98,0
3,9/22/2015,115,35,98,0.2
3,9/22/2015,120,40,98,0
3,9/22/2015,120,45,98,0
3,9/22/2015,120,0,64,0
3,9/22/2015,120,5,64,0
3,9/22/2015,120,10,64,0
3,9/22/2015,120,15,64,0
3,9/22/2015,120,20,64,0
3,9/22/2015,120,25,64,0
3,9/22/2015,120,30,64,0
3,9/22/2015,125,35,64,0.9
3,9/22/2015,125,40,64,0.4
3,9/22/2015,125,45,64,1
3,9/22/2015,125,0,91,0
3,9/22/2015,125,5,91,0
3,9/22/2015,125,10,91,0.9
3,9/22/2015,125,15,91,0.5
3,9/22/2015,125,20,91,0.2
3,9/22/2015,125,25,91,0.8
3,9/22/2015,130,30,91,0
3,9/22/2015,130,35,91,0
3,9/22/2015,130,40,91,0
3,9/22/2015,130,45,91,0
3,9/22/2015,130,0,128,1.2
3,9/22/2015,130,5,128,0.2
3,9/22/2015,130,10,128,0.3
3,9/22/2015,130,15,128,0.9
3,9/22/2015,130,20,128,0.2
3,9/22/2015,135,25,128,0.1
3,9/22/2015,135,30,128,0.3
3,9/22/2015,135,35,128,0.1
3,9/22/2015,135,40,128,0
3,9/22/2015,135,45,128,0
3,9/22/2015,135,0,39,1.2
3,9/22/2015,135,5,39,0
3,9/22/2015,135,10,39,1.1
3,9/22/2015,135,15,39,1.2
3,9/22/2015,140,20,39,1.1
3,9/22/2015,140,25,39,0
3,9/22/2015,140,30,39,0.2
3,9/22/2015,140,35,39,0
3,9/22/2015,140,40,39,0.3
3,9/22/2015,140,45,39,1.2
3,9/22/2015,140,0,116,0
3,9/22/2015,140,5,116,1
3,9/22/2015,140,10,116,0.2
3,9/22/2015,145,15,116,0.7
3,9/22/2015,145,20,116,0.1
3,9/22/2015,145,25,116,1.5
3,9/22/2015,145,30,116,0.2
3,9/22/2015,145,35,116,0
3,9/22/2015,145,40,116,0
3,9/22/2015,145,45,116,1.2
3,9/22/2015,145,0,70,0
3,9/22/2015,145,5,70,0
3,9/22/2015,150,10,70,0
3,9/22/2015,150,15,70,0
3,9/22/2015,150,20,70,0.1
3,9/22/2015,150,25,70,0
3,9/22/2015,150,30,70,0
3,9/22/2015,150,35,70,0
3,9/22/2015,150,40,70,0.3
3,9/22/2015,150,45,70,0.2
3,9/22/2015,150,0,85,0
3,9/22/2015,155,5,85,0
3,9/22/2015,155,10,85,0.3
3,9/22/2015,155,15,85,0.3
3,9/22/2015,155,20,85,0
3,9/22/2015,155,25,85,0
3,9/22/2015,155,30,85,0
3,9/22/2015,155,35,85,0
3,9/22/2015,155,40,85,0
3,9/22/2015,155,45,85,0.8
3,9/22/2015,160,0,143,0
3,9/22/2015,160,5,143,0
3,9/22/2015,160,10,143,1.1
3,9/22/2015,160,15,143,0
3,9/22/2015,160,20,143,0
3,9/22/2015,160,25,143,0.3
3,9/22/2015,160,30,143,1.5
3,9/22/2015,160,35,143,1.3
3,9/22/2015,160,40,143,1.2
3,9/22/2015,165,45,143,1.6
2,9/17/2015,5,0,179,0
2,9/17/2015,5,5,179,0
2,9/17/2015,5,10,179,0
2,9/17/2015,5,15,179,0
2,9/17/2015,5,20,179,0
2,9/17/2015,5,25,179,0
2,9/17/2015,5,30,179,0
2,9/17/2015,5,35,179,0
2,9/17/2015,5,40,179,0
2,9/17/2015,5,45,179,0
2,9/17/2015,10,0,240,0
2,9/17/2015,10,5,240,0
2,9/17/2015,10,10,240,0
2,9/17/2015,10,15,240,0.7
2,9/17/2015,10,20,240,1.2
2,9/17/2015,10,25,240,0.4
2,9/17/2015,10,30,240,0
2,9/17/2015,10,35,240,0
2,9/17/2015,10,40,240,0
2,9/17/2015,15,45,195,0
2,9/17/2015,15,0,195,0
2,9/17/2015,15,5,195,0
2,9/17/2015,15,10,195,0
2,9/17/2015,15,15,195,0
2,9/17/2015,15,20,195,0
2,9/17/2015,15,25,195,0
2,9/17/2015,15,30,195,0
2,9/17/2015,15,35,195,0
2,9/17/2015,20,40,195,0
2,9/17/2015,20,45,239,0
2,9/17/2015,20,0,239,0.5
2,9/17/2015,20,5,239,0.3
2,9/17/2015,20,10,239,0
2,9/17/2015,20,15,239,0
2,9/17/2015,20,20,239,0
2,9/17/2015,20,25,239,0
2,9/17/2015,20,30,239,0
2,9/17/2015,25,35,239,0
2,9/17/2015,25,40,239,0
2,9/17/2015,25,45,239,0
2,9/17/2015,25,0,249,0
2,9/17/2015,25,5,249,0
2,9/17/2015,25,10,249,0
2,9/17/2015,25,15,249,0
2,9/17/2015,25,20,249,0
2,9/17/2015,25,25,249,0
2,9/17/2015,30,30,249,0
2,9/17/2015,30,35,249,0
2,9/17/2015,30,40,249,0
2,9/17/2015,30,45,249,0
2,9/17/2015,30,0,252,0.9
2,9/17/2015,30,5,252,0.4
2,9/17/2015,30,10,252,0
2,9/17/2015,30,15,252,0
2,9/17/2015,30,20,252,0
2,9/17/2015,35,25,252,0
2,9/17/2015,35,30,252,0.3
2,9/17/2015,35,35,252,0.3
2,9/17/2015,35,40,252,0
2,9/17/2015,35,45,252,0
2,9/17/2015,35,0,270,1.4
2,9/17/2015,35,5,270,1.6
2,9/17/2015,35,10,270,1.2
2,9/17/2015,35,15,270,0
2,9/17/2015,40,20,270,0
2,9/17/2015,40,25,270,0
2,9/17/2015,40,30,270,0
2,9/17/2015,40,35,270,0
2,9/17/2015,40,40,270,0
2,9/17/2015,40,45,270,0
2,9/17/2015,40,0,104,0
2,9/17/2015,40,5,104,0
2,9/17/2015,40,10,104,0
2,9/17/2015,45,15,104,0.1
2,9/17/2015,45,20,104,0.8
2,9/17/2015,45,25,104,0.3
2,9/17/2015,45,30,104,0
2,9/17/2015,45,35,104,0
2,9/17/2015,45,40,104,0
2,9/17/2015,45,45,104,0
2,9/17/2015,45,0,228,0
2,9/17/2015,45,5,228,0
2,9/17/2015,50,10,228,0
2,9/17/2015,50,15,228,0
2,9/17/2015,50,20,228,0
2,9/17/2015,50,25,228,0.3
2,9/17/2015,50,30,228,0.2
2,9/17/2015,50,35,228,1.1
2,9/17/2015,50,40,228,0.4
2,9/17/2015,50,45,228,0.9
2,9/17/2015,50,0,278,0
2,9/17/2015,55,5,278,0
2,9/17/2015,55,10,278,0.7
2,9/17/2015,55,15,278,0
2,9/17/2015,55,20,278,0
2,9/17/2015,55,25,278,0.2
2,9/17/2015,55,30,278,0
2,9/17/2015,55,35,278,0
2,9/17/2015,55,40,278,0
2,9/17/2015,55,45,278,0
2,9/17/2015,60,0,284,0.2
2,9/17/2015,60,5,284,0
2,9/17/2015,60,10,284,0
2,9/17/2015,60,15,284,0.1
2,9/17/2015,60,20,284,1.6
2,9/17/2015,60,25,284,2.6
2,9/17/2015,60,30,284,1.3
2,9/17/2015,60,35,284,0.3
2,9/17/2015,60,40,284,0.1
2,9/17/2015,65,45,284,1
2,9/17/2015,65,0,289,0.3
2,9/17/2015,65,5,289,1.3
2,9/17/2015,65,10,289,1.3
2,9/17/2015,65,15,289,1.1
2,9/17/2015,65,20,289,0
2,9/17/2015,65,25,289,0
2,9/17/2015,65,30,289,0.7
2,9/17/2015,65,35,289,0
2,9/17/2015,70,40,289,0.8
2,9/17/2015,70,45,289,2.2
2,9/17/2015,70,0,273,1.5
2,9/17/2015,70,5,273,1.8
2,9/17/2015,70,10,273,0.3
2,9/17/2015,70,15,273,0.9
2,9/17/2015,70,20,273,1.6
2,9/17/2015,70,25,273,1.1
2,9/17/2015,70,30,273,0.3
2,9/17/2015,75,35,273,0
2,9/17/2015,75,40,273,0
2,9/17/2015,75,45,273,0
2,9/17/2015,75,0,270,0
2,9/17/2015,75,5,270,0
2,9/17/2015,75,10,270,1
2,9/17/2015,75,15,270,1.1
2,9/17/2015,75,20,270,1.4
2,9/17/2015,75,25,270,1.3
2,9/17/2015,80,30,270,1.3
2,9/17/2015,80,35,270,1.2
2,9/17/2015,80,40,270,0.8
2,9/17/2015,80,45,270,2.1
2,9/17/2015,80,0,284,0
2,9/17/2015,80,5,284,0.2
2,9/17/2015,80,10,284,0
2,9/17/2015,80,15,284,0.2
